"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","19","0","","0"
"0","","0","Authentication","1","0","Succesfull Login","0"
"0","","0","Checkout","1","0","Complete Purchase Flow","0"
"0","","0","API Posts","1","0","Create Post","0"
